0.9635,0.9285,0.9607,0.9968,0.9489,0.9907,0.623
0.4375,0.9611,0.9842,0.3871,0.3129,0.3964,0.5903
0.9805,0.9569,0.5471,0.9972,0.9645,0.6068,0.9887
0.9784,0.9753,0.9586,0.9967,0.5121,0.5816,0.9877
0.5117,0.9785,0.9442,0.2681,0.3657,0.98,0.9865
0.9202,0.4784,0.9757,0.9939,0.4656,0.9948,0.9865
0.9473,0.4782,0.9851,0.9941,0.9191,0.9897,0.9867
0.95,0.9794,0.9831,0.41,0.3615,0.4964,0.6086
0.9547,0.9852,0.9608,0.9972,0.9494,0.9947,0.9914
0.9175,0.9005,0.9735,0.979,0.4076,0.9893,0.9859
0.4022,0.9617,0.9512,0.2363,0.2406,0.3374,0.4815
0.9673,0.9789,0.4731,0.9941,0.9502,0.5658,0.9873
0.9128,0.9135,0.9788,0.9972,0.455,0.4514,0.9853
0.3957,0.9145,0.972,0.3296,0.3351,0.9787,0.9852
0.9875,0.5439,0.9604,0.9972,0.5468,0.994,0.9868
0.9151,0.3999,0.9444,0.9781,0.9372,0.9916,0.9855
0.9764,0.9728,0.9838,0.4466,0.4068,0.5486,0.6115
0.9619,0.9747,0.9494,0.9972,0.9466,0.9874,0.9888
0.9699,0.9842,0.9669,0.9972,0.5413,0.9926,0.9898
0.9206,0.9587,0.9471,0.9972,0.9585,0.9916,0.6128
0.3871,0.9506,0.9793,0.3378,0.2705,0.3457,0.5455
